top_left_LDR,top_right_LDR,bottom_left_LDR,bottom_right_LDR,hour,voltage,current,optimal_horizontal_angle,optimal_vertical_angle
912,925,878,902,17,7.96,1.43,89,91
780,814,829,755,15,6.99,1.14,91,90
780,760,796,734,13,6.75,0.93,92,90
580,619,571,572,15,5.15,0.7,89,91
344,338,373,408,12,3.22,0.46,89,87
511,548,535,501,12,4.61,0.75,89,90
599,573,610,544,8,5.12,0.78,92,90
584,579,569,567,8,5.06,0.89,90,90
378,348,325,381,12,3.15,0.45,89,90
415,426,418,415,14,3.68,0.44,89,90
697,688,727,747,16,6.29,1.01,89,87
649,607,673,688,15,5.76,0.84,90,87
604,580,540,613,7,5.14,0.55,88,90
334,353,356,303,6,2.96,0.38,90,90
678,709,740,718,14,6.26,0.95,89,88
480,515,493,502,9,4.38,0.45,88,90
361,296,320,290,10,2.79,0.33,92,91
570,553,519,531,17,4.78,0.76,90,91
541,521,548,595,13,4.85,0.8,89,87
780,727,791,786,8,6.78,1.13,91,88
439,472,484,472,9,4.11,0.5,89,88
730,684,716,706,16,6.24,0.77,91,89
729,815,796,803,11,6.91,0.88,87,88
406,461,400,398,12,3.66,0.6,88,91
811,807,750,802,11,6.97,0.89,88,91
427,419,413,420,17,3.69,0.62,90,90
391,368,403,451,7,3.55,0.49,89,87
420,404,469,467,14,3.87,0.64,90,87
423,420,380,376,7,3.52,0.47,90,92
388,410,344,438,18,3.48,0.39,87,90
354,279,355,293,10,2.82,0.36,93,89
676,669,667,713,6,5.99,0.75,89,89
570,573,628,602,14,5.22,0.76,90,87
764,822,830,783,6,7.04,1.02,89,89
568,558,571,606,7,5.07,0.53,89,88
840,837,928,862,9,7.63,1.33,91,87
357,357,310,284,15,2.88,0.46,90,93
457,466,503,498,15,4.23,0.53,89,88
410,403,428,352,7,3.5,0.53,92,90
755,779,776,750,9,6.73,0.79,90,90
413,411,449,457,15,3.8,0.52,89,87
332,292,342,332,9,2.85,0.39,91,88
837,800,839,889,17,7.4,1.31,89,87
414,460,454,474,7,3.96,0.7,88,88
777,802,758,783,18,6.86,1.17,88,90
553,604,593,586,7,5.14,0.53,88,89
829,895,880,879,17,7.66,1.35,88,89
836,875,861,831,15,7.48,1.15,89,90
339,299,355,344,6,2.94,0.36,91,88
345,354,372,358,6,3.14,0.53,90,89
706,653,633,718,12,5.96,0.99,89,90
753,705,766,757,12,6.56,0.7,91,88
498,465,447,490,13,4.18,0.51,89,90
643,686,715,717,12,6.07,0.7,88,87
787,780,844,813,7,7.09,0.81,90,87
282,297,340,277,8,2.63,0.33,91,89
903,940,911,850,15,7.93,0.92,90,92
754,800,815,780,15,6.93,0.96,89,88
367,415,368,410,12,3.43,0.52,87,90
336,360,351,405,9,3.19,0.44,88,88
700,782,755,765,6,6.6,1.08,87,89
725,642,724,695,16,6.13,0.72,92,88
402,386,343,409,17,3.39,0.53,88,90
445,417,415,397,9,3.68,0.42,91,91
864,908,861,871,9,7.71,1.35,88,91
424,397,392,407,18,3.56,0.43,90,90
389,323,314,371,12,3.07,0.36,90,90
594,616,594,614,14,5.32,0.68,88,90
562,520,582,511,9,4.78,0.54,92,89
278,267,302,305,13,2.53,0.38,90,88
829,774,800,795,12,7.03,1.01,91,90
300,305,359,274,6,2.72,0.31,92,89
680,722,689,721,13,6.18,0.72,88,89
833,802,873,849,18,7.38,0.98,91,87
886,912,869,856,14,7.75,1.26,89,91
353,332,351,310,6,2.96,0.51,91,90
608,706,621,653,10,5.69,0.58,86,91
828,873,873,818,8,7.46,0.91,90,90
463,475,501,534,16,4.34,0.62,88,87
659,643,571,604,15,5.45,0.82,89,93
798,847,805,802,13,7.15,0.81,88,90
485,564,508,558,7,4.65,0.59,86,89
663,652,710,733,16,6.07,1.08,89,86
495,482,484,443,16,4.19,0.63,91,91
350,426,367,399,12,3.39,0.61,87,90
386,416,396,374,10,3.46,0.55,89,90
618,623,618,596,11,5.4,0.95,90,90
683,693,748,694,12,6.2,0.93,91,88
760,795,723,797,11,6.76,1.07,87,90
668,680,676,734,6,6.07,0.72,88,88
634,697,633,638,17,5.72,0.98,88,91
829,897,921,924,7,7.85,1.09,88,87
360,354,300,337,16,2.97,0.35,89,91
343,331,347,296,8,2.9,0.46,91,90
909,898,839,893,10,7.78,0.83,88,91
784,802,795,750,12,6.89,0.91,90,91
546,456,486,539,8,4.46,0.5,90,89
668,668,660,640,9,5.8,0.78,90,90
418,480,450,470,16,4.0,0.61,87,89
840,771,863,851,9,7.31,1.17,92,87
502,493,542,576,18,4.65,0.58,89,86
777,841,852,792,13,7.17,1.08,89,89
447,483,454,525,6,4.2,0.51,87,88
618,627,644,659,16,5.6,0.81,89,88
761,792,769,825,7,6.92,0.75,87,88
848,933,924,939,6,8.01,1.37,87,87
374,448,406,395,13,3.57,0.5,88,90
499,547,554,531,12,4.69,0.73,89,89
355,326,302,376,17,2.99,0.51,88,90
855,883,854,832,17,7.53,1.33,89,91
819,808,787,791,16,7.05,1.18,90,91
342,368,392,386,18,3.27,0.33,89,88
445,429,493,489,7,4.08,0.62,90,87
340,338,305,329,8,2.89,0.44,89,91
724,709,755,736,15,6.43,0.77,90,88
503,511,552,529,14,4.61,0.53,90,88
771,852,833,802,6,7.17,1.04,88,89
498,469,478,519,13,4.32,0.62,89,89
713,671,764,721,17,6.31,0.71,92,87
782,842,771,822,18,7.08,1.09,87,90
789,776,765,791,7,6.86,0.73,89,90
413,403,440,449,6,3.75,0.44,90,88
582,581,562,562,16,5.03,0.58,90,90
464,453,441,401,8,3.87,0.46,91,91
580,517,523,534,10,4.74,0.52,91,91
664,668,714,748,16,6.15,1.07,89,86
789,748,808,771,6,6.85,1.22,91,88
575,565,592,561,7,5.04,0.54,91,89
828,810,742,797,8,6.99,1.11,89,92
820,805,799,770,17,7.02,0.71,91,91
794,738,761,735,10,6.66,0.73,92,90
846,829,788,791,6,7.16,1.25,90,92
766,771,749,765,13,6.71,0.76,89,90
614,664,602,598,15,5.45,0.71,88,91
659,650,668,692,7,5.87,1.05,89,88
586,597,593,566,13,5.15,0.72,90,90
398,397,365,364,18,3.35,0.57,90,91
805,806,738,756,9,6.83,0.81,89,92
577,544,554,604,15,5.01,0.76,89,89
569,499,554,535,11,4.74,0.81,92,89
837,881,854,850,14,7.53,0.84,89,90
555,620,623,605,14,5.29,0.83,88,88
835,924,863,886,9,7.72,0.94,87,90
687,666,658,656,15,5.87,0.59,90,90
651,659,621,660,15,5.7,0.95,88,90
697,620,679,682,8,5.89,0.85,91,88
616,635,600,634,12,5.47,0.7,88,90
739,729,766,776,8,6.62,0.7,90,88
839,830,855,887,6,7.5,0.8,89,88
657,603,645,588,17,5.48,0.57,92,90
635,631,700,705,18,5.87,0.74,89,86
428,457,414,431,6,3.8,0.42,88,91
683,692,663,659,13,5.93,0.88,89,91
633,665,648,668,6,5.75,0.72,88,89
727,694,728,732,18,6.34,0.73,90,89
333,356,332,416,16,3.16,0.38,87,88
668,701,700,632,9,5.94,0.95,90,90
566,560,624,588,15,5.14,0.82,91,87
750,780,735,698,9,6.52,0.67,90,92
587,620,610,647,12,5.42,0.62,88,88
559,583,527,588,9,4.96,0.78,87,90
706,757,777,751,18,6.58,1.12,89,88
796,791,748,775,13,6.84,1.13,89,91
765,761,750,749,14,6.65,0.95,90,90
699,647,703,733,9,6.12,0.66,90,87
753,763,739,753,9,6.62,0.68,89,90
488,526,586,559,14,4.75,0.61,89,86
489,490,517,535,10,4.47,0.64,89,88
556,495,542,538,10,4.69,0.75,91,89
435,451,388,380,6,3.64,0.52,89,92
416,433,482,479,15,3.98,0.7,89,87
457,485,485,407,10,4.03,0.42,91,91
581,551,621,570,15,5.11,0.7,92,88
652,651,663,689,6,5.84,0.74,89,88
698,733,691,730,9,6.27,0.87,88,90
573,630,581,635,13,5.32,0.66,87,89
850,837,835,776,11,7.25,0.76,91,91
654,673,658,633,11,5.76,0.63,90,90
918,877,935,903,7,7.99,0.95,91,88
483,464,510,447,9,4.19,0.74,92,89
510,581,492,516,8,4.62,0.82,87,92
822,851,821,859,15,7.37,0.82,88,89
622,536,578,568,10,5.07,0.56,92,90
524,504,501,510,16,4.48,0.79,90,90
518,541,532,596,16,4.81,0.7,87,88
729,730,787,789,12,6.68,0.67,89,87
483,416,408,495,7,3.96,0.52,89,89
378,391,413,446,17,3.58,0.54,88,87
791,817,836,860,8,7.27,1.12,88,87
352,296,355,271,11,2.8,0.45,93,90
562,586,562,614,18,5.11,0.87,88,89
846,799,796,814,7,7.16,1.27,90,90
775,757,785,795,12,6.84,1.02,90,88
679,715,728,720,6,6.25,0.68,89,88
381,422,420,387,10,3.54,0.5,89,89
312,281,359,350,15,2.86,0.43,91,87
591,652,629,580,8,5.39,0.71,89,90
821,875,843,849,16,7.45,0.76,88,90
400,421,492,474,18,3.93,0.45,89,86
537,556,595,534,9,4.89,0.85,91,89
720,728,740,686,7,6.32,0.65,91,90
537,531,562,523,11,4.74,0.63,91,89
388,403,391,391,8,3.46,0.6,89,90
470,553,556,476,13,4.52,0.64,89,89
510,565,592,563,18,4.9,0.78,89,88
456,458,461,478,7,4.08,0.45,89,89
689,725,658,653,6,5.99,0.64,89,92
371,371,364,382,16,3.27,0.58,89,89
311,293,268,286,6,2.55,0.36,90,91
825,817,796,881,17,7.3,0.98,88,89
365,409,437,396,6,3.53,0.59,89,88
568,568,563,613,16,5.09,0.61,88,89
411,408,427,428,10,3.68,0.39,90,89
638,634,648,702,6,5.77,0.85,88,88
796,773,839,816,8,7.09,0.73,91,87
741,773,800,827,13,6.91,1.24,88,87
647,605,664,637,6,5.62,0.99,91,88
858,857,847,863,11,7.53,1.05,89,90
859,789,787,851,7,7.23,0.85,90,90
548,567,579,574,7,4.99,0.86,89,89
549,566,583,586,16,5.02,0.55,89,88
921,933,874,874,16,7.92,1.42,89,92
468,521,463,477,13,4.24,0.62,88,91
906,911,927,861,7,7.93,1.22,91,90
416,360,375,393,6,3.4,0.39,90,90
843,909,921,923,17,7.91,1.39,88,87
746,743,731,707,6,6.44,1.12,90,91
778,840,791,815,14,7.09,1.2,87,90
840,787,844,778,9,7.15,1.22,92,90
669,646,601,609,11,5.55,0.87,90,92
666,667,697,723,7,6.05,1.01,89,87
709,736,686,667,14,6.15,1.03,89,92
378,414,366,450,10,3.54,0.43,87,89
798,838,831,854,16,7.3,1.25,88,88
608,622,593,557,7,5.23,0.73,90,92
403,358,383,423,8,3.45,0.48,90,88
556,557,572,545,11,4.9,0.54,90,89
698,731,745,673,12,6.26,0.99,90,90
808,775,738,795,9,6.85,0.81,89,91
888,844,848,856,15,7.56,0.88,90,90
374,404,408,449,7,3.6,0.57,88,88
857,812,790,805,15,7.18,1.2,90,91
458,454,434,464,11,3.98,0.47,89,90
587,545,514,570,10,4.87,0.75,89,91
687,680,713,706,13,6.13,0.7,90,88
499,499,573,581,11,4.73,0.84,89,86
895,831,872,890,14,7.67,1.22,91,89
630,663,673,612,9,5.67,0.59,90,90
773,713,771,712,18,6.53,1.08,92,90
863,894,911,922,18,7.9,0.98,88,88
560,511,538,485,9,4.61,0.6,92,91
334,378,388,415,15,3.33,0.39,88,87
375,379,384,410,16,3.4,0.45,89,89
358,421,402,359,7,3.39,0.54,89,90
787,873,796,880,6,7.34,0.94,85,89
818,863,853,817,17,7.37,0.98,89,90
823,750,778,812,7,6.96,0.87,90,89
364,340,319,338,9,2.99,0.51,90,91
590,541,624,550,12,5.07,0.69,93,88
822,842,803,812,18,7.21,0.8,89,91
627,644,582,622,9,5.44,0.81,88,91
665,663,632,636,7,5.71,0.93,89,91
715,777,747,693,9,6.45,1.11,89,91
688,750,732,740,10,6.4,1.01,88,89
543,530,607,616,18,5.05,0.61,90,86
903,828,883,919,16,7.77,1.32,90,88
444,464,456,466,9,4.02,0.58,89,89
540,535,540,537,18,4.73,0.61,90,89
828,837,836,796,16,7.25,0.82,90,90
608,611,660,562,7,5.37,0.57,92,89
513,565,554,546,17,4.79,0.77,88,89
323,348,276,324,10,2.8,0.48,88,91
728,755,771,707,13,6.51,0.86,90,90
803,865,830,810,6,7.28,0.93,88,90
561,582,630,562,7,5.14,0.89,91,88
838,814,823,827,13,7.26,0.81,90,90
384,411,322,368,13,3.27,0.55,88,92
323,332,303,336,8,2.85,0.39,88,90
801,798,757,723,12,6.77,1.14,90,92
839,758,759,811,6,6.97,1.16,90,90
708,680,764,749,7,6.38,1.01,91,86
721,683,650,667,8,5.98,0.81,90,92
413,359,403,340,16,3.33,0.45,92,90
291,308,300,369,16,2.79,0.44,87,88
573,581,572,591,14,5.1,0.56,89,89
818,791,886,878,11,7.42,0.91,90,86
378,433,453,449,7,3.77,0.43,88,87
456,511,514,440,18,4.23,0.6,90,90
373,381,361,319,17,3.15,0.33,90,91
547,522,496,515,12,4.57,0.49,90,91
868,859,868,901,14,7.69,1.18,89,88
555,500,534,523,6,4.65,0.54,91,89
462,440,441,443,6,3.93,0.46,90,90
826,900,827,870,18,7.53,0.79,87,90
814,766,822,836,16,7.12,1.02,90,88
460,482,505,534,15,4.36,0.53,88,87
717,653,680,721,8,6.09,0.77,90,89
481,438,428,489,11,4.04,0.46,89,90
505,546,526,494,7,4.55,0.65,89,90
724,794,751,811,14,6.77,1.03,86,88
859,859,848,868,6,7.55,0.88,89,90
418,420,427,394,9,3.65,0.63,90,90
286,261,317,294,6,2.55,0.41,91,88
799,761,780,771,16,6.84,0.94,91,90
753,768,820,848,6,7.01,0.85,88,86
543,501,546,506,9,4.61,0.64,92,89
618,584,601,597,10,5.28,0.66,90,90
427,429,465,456,16,3.91,0.63,90,88
732,705,784,793,16,6.63,0.85,90,86
537,465,478,506,7,4.37,0.76,91,90
792,750,793,731,16,6.74,1.04,92,90
416,387,409,431,14,3.61,0.38,90,89
455,439,374,382,15,3.63,0.61,90,93
692,743,772,763,12,6.53,1.03,88,87
521,443,488,491,12,4.27,0.76,91,89
581,560,561,571,7,5.0,0.89,90,90
822,729,821,741,10,6.85,1.17,94,89
752,830,835,745,15,6.95,0.75,90,90
566,542,573,527,16,4.86,0.71,91,90
839,847,776,825,12,7.23,0.81,88,92
506,530,529,532,9,4.61,0.79,89,89
548,496,529,556,6,4.68,0.65,90,88
586,657,604,590,11,5.36,0.58,88,91
897,872,885,823,6,7.65,0.95,92,91
406,443,387,392,8,3.58,0.63,88,91
821,849,791,818,6,7.21,1.16,88,91
531,556,536,527,12,4.73,0.81,89,90
678,676,667,646,11,5.87,0.81,90,91
487,434,456,516,14,4.16,0.65,89,88
803,783,852,852,9,7.24,1.13,90,87
785,768,749,729,17,6.67,1.15,90,91
875,884,875,893,12,7.76,0.92,89,89
522,521,503,518,14,4.54,0.47,89,90
613,599,595,571,10,5.23,0.62,90,91
525,565,535,600,7,4.89,0.73,87,88
709,690,752,724,10,6.32,1.09,91,88
827,787,793,787,15,7.02,0.71,91,90
495,510,472,523,6,4.4,0.54,88,90
301,292,362,325,8,2.82,0.35,91,87
734,678,666,691,6,6.09,0.99,90,91
855,781,762,855,8,7.15,0.77,89,90
353,330,379,370,7,3.15,0.46,90,88
760,779,753,786,11,6.77,0.95,88,90
751,731,693,716,7,6.36,0.67,89,91
712,764,715,789,8,6.55,1.17,86,89
724,763,795,736,8,6.64,0.76,90,88
498,493,583,561,11,4.7,0.8,90,86
493,527,527,507,11,4.52,0.64,89,89
342,360,310,323,16,2.94,0.41,89,91
455,475,436,489,15,4.08,0.41,88,90
325,312,382,325,12,2.96,0.52,91,88
801,770,759,787,9,6.86,1.2,90,90
594,594,544,571,12,5.07,0.7,89,91
602,558,616,578,6,5.18,0.57,92,89
721,714,767,717,6,6.42,1.04,91,88
910,874,894,914,18,7.9,1.26,90,89
489,505,503,501,12,4.39,0.46,89,89
340,360,395,405,12,3.3,0.48,89,87
736,800,726,728,7,6.58,1.13,88,92
518,451,446,511,7,4.24,0.55,90,90
403,475,391,476,14,3.84,0.67,86,90
747,682,715,765,11,6.4,0.91,90,88
842,867,897,926,15,7.77,0.82,88,87
637,696,647,665,18,5.82,1.03,88,90
875,782,798,829,13,7.22,0.97,91,90
345,387,330,408,8,3.23,0.51,87,89
383,380,316,344,9,3.13,0.35,89,92
520,555,588,551,7,4.87,0.8,90,88
898,866,842,900,16,7.71,0.84,89,90
758,744,771,741,13,6.63,0.7,91,89
554,576,563,569,13,4.98,0.57,89,89
647,637,632,641,16,5.62,0.9,90,90
926,868,840,858,12,7.68,0.97,91,92
916,912,893,862,6,7.88,1.24,90,91
712,729,714,729,16,6.34,1.04,89,89
696,655,639,685,12,5.88,0.69,89,90
351,310,311,305,14,2.81,0.46,91,91
378,375,400,373,10,3.36,0.41,90,89
554,571,613,558,12,5.05,0.57,90,88
451,545,466,458,18,4.22,0.73,87,91
799,810,796,733,18,6.9,0.77,91,92
441,441,436,373,14,3.72,0.49,91,91
685,643,634,668,9,5.78,0.99,90,90
542,561,506,508,16,4.66,0.79,89,92
479,466,431,466,9,4.05,0.54,89,91
320,309,366,333,11,2.92,0.5,91,88
871,857,919,884,16,7.77,1.02,91,88
812,829,808,851,9,7.26,0.77,88,89
635,647,658,636,8,5.67,0.86,90,89
553,567,493,557,11,4.77,0.75,88,91
842,856,808,783,8,7.23,0.87,90,92
485,504,550,551,10,4.6,0.61,89,87
728,730,820,766,17,6.7,0.71,91,86
835,870,827,866,6,7.47,0.97,88,90
809,835,809,818,17,7.19,0.72,89,90
640,672,732,682,9,6.0,1.03,90,87
691,657,735,727,10,6.18,0.64,91,87
659,641,659,690,14,5.83,0.65,89,88
783,779,833,756,6,6.93,1.18,92,89
509,508,576,498,11,4.6,0.68,91,88
694,681,666,687,11,6.0,0.62,89,90
574,592,597,610,15,5.22,0.78,89,88
411,375,445,459,18,3.72,0.42,90,87
542,526,473,513,12,4.52,0.72,89,92
652,637,634,680,15,5.73,0.78,89,89
437,459,429,467,17,3.94,0.54,88,90
765,745,778,816,8,6.83,0.7,89,87
705,756,763,758,9,6.56,0.67,88,88
407,437,456,377,12,3.69,0.58,91,90
810,807,806,846,16,7.19,0.77,89,89
745,782,740,815,17,6.78,0.94,87,89
638,593,627,603,12,5.41,0.92,91,90
896,833,808,827,13,7.4,1.17,91,92
334,350,336,351,11,3.02,0.45,89,89
628,628,635,630,17,5.54,0.56,90,89
760,784,753,794,8,6.8,1.03,88,89
462,477,418,441,12,3.95,0.58,89,92
636,625,642,585,8,5.47,0.71,91,90
382,323,397,380,18,3.26,0.36,91,88
802,773,751,823,11,6.93,1.01,88,90
774,821,819,808,14,7.09,1.25,89,89
685,724,698,674,10,6.12,0.85,89,90
508,450,506,500,13,4.32,0.56,91,88
814,831,800,804,6,7.15,0.98,89,91
930,921,892,838,6,7.88,1.22,91,93
657,656,612,605,18,5.56,0.87,90,92
885,891,844,829,7,7.59,1.35,90,92
619,631,566,640,11,5.4,0.78,87,91
940,900,931,882,15,8.03,1.02,92,90
779,783,786,814,12,6.95,1.05,89,89
395,418,447,431,8,3.72,0.56,89,88
785,818,850,825,7,7.21,1.0,89,88
406,428,374,463,9,3.68,0.4,87,89
550,561,594,618,16,5.11,0.8,89,87
746,807,792,765,6,6.84,0.69,89,89
500,543,461,534,8,4.48,0.77,87,91
435,419,480,493,14,4.02,0.71,90,87
819,864,830,774,14,7.23,0.77,90,91
537,496,503,579,8,4.65,0.73,89,88
470,534,466,495,12,4.32,0.63,87,91
433,467,456,429,13,3.93,0.48,89,90
372,407,397,432,16,3.54,0.38,88,88
771,799,853,806,7,7.1,0.93,90,87
810,848,812,853,9,7.31,1.3,88,89
362,413,343,400,7,3.34,0.49,87,90
544,598,633,542,12,5.1,0.66,90,89
537,487,521,507,6,4.51,0.64,91,89
559,587,594,548,15,5.03,0.63,90,90
317,385,314,336,18,2.97,0.45,87,91
652,741,693,698,8,6.12,1.09,87,90
493,451,511,467,14,4.23,0.7,92,89
611,572,538,533,13,4.96,0.67,91,92
385,308,344,348,12,3.05,0.47,91,90
769,749,727,771,9,6.63,0.78,89,90
373,388,353,432,11,3.4,0.56,87,89
616,599,616,578,8,5.3,0.71,91,90
800,842,836,798,14,7.21,0.97,89,90
355,333,311,323,16,2.91,0.42,90,91
650,649,739,676,9,5.97,0.75,91,87
740,707,695,722,17,6.3,0.96,90,90
694,663,707,687,13,6.05,0.74,91,89
671,625,610,655,14,5.63,0.92,90,90
341,364,279,370,16,2.98,0.38,87,91
921,858,914,890,16,7.88,1.39,92,89
778,786,739,779,17,6.78,1.19,88,91
585,569,560,548,12,4.98,0.84,90,91
580,588,549,601,18,5.1,0.75,88,90
526,469,460,444,9,4.18,0.74,91,92
559,642,580,619,13,5.28,0.72,86,90
643,682,641,609,17,5.66,1.01,89,91
634,636,628,633,11,5.57,0.75,89,90
824,864,842,822,16,7.37,0.78,89,90
633,647,604,597,13,5.46,0.7,89,91
321,374,391,322,17,3.1,0.43,90,89
765,753,742,765,7,6.65,0.73,89,90
529,587,552,556,11,4.89,0.52,88,90
872,838,877,884,18,7.63,1.0,90,88
474,514,477,476,13,4.27,0.69,89,90
400,480,469,484,16,4.03,0.71,87,88
861,843,903,888,11,7.69,1.16,90,87
323,302,371,360,16,2.98,0.49,90,87
481,404,428,476,17,3.93,0.51,90,89
720,701,775,784,6,6.55,1.02,90,86
620,564,587,595,17,5.2,0.6,91,90
535,513,547,523,15,4.66,0.74,91,89
393,352,338,417,9,3.3,0.57,89,89
327,370,319,343,12,2.99,0.51,88,90
608,567,557,530,14,4.98,0.57,91,92
297,339,379,297,15,2.89,0.34,91,89
387,425,425,428,7,3.66,0.55,88,88
625,535,576,547,7,5.02,0.52,92,90
349,366,316,365,16,3.07,0.44,88,90
411,453,477,453,10,3.95,0.41,89,88
428,463,389,471,9,3.85,0.59,87,90
717,737,650,699,15,6.16,0.72,88,92
505,546,520,509,14,4.57,0.52,89,90
837,759,788,811,15,7.03,1.04,91,89
447,450,425,422,12,3.84,0.42,90,91
404,461,443,456,10,3.88,0.52,88,89
408,397,392,353,10,3.41,0.36,91,91
659,668,735,707,15,6.09,0.98,90,87
574,573,511,587,6,4.94,0.67,88,91
815,792,809,782,6,7.03,0.7,91,90
848,931,903,885,12,7.85,1.21,88,89
410,354,352,442,18,3.43,0.57,89,89
513,512,532,527,11,4.58,0.81,90,89
351,333,338,306,6,2.92,0.43,91,91
750,767,754,696,14,6.53,1.13,91,91
642,590,571,656,14,5.41,0.7,89,90
607,571,611,564,10,5.18,0.57,92,90
626,666,663,655,18,5.74,0.71,89,89
568,614,548,629,7,5.19,0.89,86,90
806,793,747,805,8,6.93,0.9,88,91
723,725,753,760,14,6.51,0.74,89,88
769,714,799,715,9,6.59,1.15,93,89
727,710,659,752,13,6.26,1.05,88,90
423,354,418,384,7,3.47,0.4,92,89
382,401,446,389,9,3.56,0.48,90,88
870,886,863,889,15,7.72,0.98,88,90
774,742,774,739,15,6.66,0.69,91,90
719,696,651,637,11,5.95,0.66,90,93
817,837,825,904,13,7.44,1.24,87,88
544,548,512,491,10,4.61,0.74,90,92
600,581,554,561,17,5.05,0.91,90,91
420,458,420,431,15,3.8,0.51,88,90
736,675,720,688,13,6.2,0.88,92,90
644,713,692,667,6,5.97,0.87,88,89
309,335,330,328,13,2.86,0.37,89,89
399,374,423,401,12,3.51,0.56,91,88
551,520,511,525,14,4.63,0.8,90,90
301,327,277,310,16,2.67,0.43,88,91
721,760,738,710,10,6.44,0.68,89,90
400,397,406,422,13,3.57,0.57,89,89
697,663,700,645,8,5.95,0.67,92,90
584,524,585,555,13,4.94,0.57,92,89
707,660,671,711,15,6.05,0.84,90,89
552,596,513,505,11,4.76,0.7,89,93
531,498,511,524,16,4.54,0.47,90,89
527,515,607,534,9,4.8,0.65,92,87
364,446,436,419,7,3.66,0.56,88,88
764,771,809,783,12,6.88,0.74,90,88
520,516,476,545,9,4.52,0.76,88,90
379,408,317,399,6,3.31,0.47,87,91
580,665,580,618,17,5.37,0.6,86,91
421,404,467,472,11,3.88,0.62,90,87
376,379,395,427,12,3.47,0.41,89,88
611,654,645,654,16,5.64,0.64,88,89
902,913,913,939,13,8.07,1.32,89,89
550,559,541,564,14,4.87,0.68,89,90
870,903,909,931,16,7.95,1.26,88,88
323,391,345,339,10,3.07,0.53,88,90
447,470,453,454,12,4.01,0.42,89,90
491,487,462,480,16,4.22,0.55,89,90
647,645,668,735,12,5.93,0.87,88,87
600,551,571,579,6,5.06,0.65,91,90
534,472,475,453,18,4.25,0.43,92,91
701,705,653,650,13,5.96,0.72,89,92
639,562,637,594,10,5.35,0.72,93,89
855,854,771,849,6,7.32,0.77,88,92
676,709,728,652,11,6.08,0.61,91,90
370,391,412,380,10,3.42,0.37,90,89
704,653,701,734,17,6.14,0.71,90,88
810,841,813,858,14,7.31,1.0,88,89
349,319,306,333,14,2.87,0.39,90,90
423,409,424,441,8,3.73,0.5,89,89
617,628,643,604,7,5.48,0.56,90,89
648,607,665,571,10,5.48,0.57,93,90
577,592,609,595,17,5.22,0.88,89,89
527,535,507,519,9,4.59,0.8,89,90
676,655,623,688,6,5.81,1.03,88,90
557,572,625,548,12,5.06,0.76,91,88
754,754,810,768,8,6.79,0.77,91,88
471,434,424,422,15,3.85,0.46,90,91
528,489,515,455,10,4.37,0.56,92,91
486,433,431,453,11,3.97,0.59,90,90
646,687,715,716,11,6.08,1.05,88,87
859,803,874,864,10,7.48,1.34,91,88
656,705,652,726,11,6.02,0.91,86,89
899,838,900,842,16,7.65,1.02,92,89
525,509,482,481,10,4.39,0.58,90,91
845,884,874,911,14,7.73,1.39,88,88
807,799,811,830,16,7.14,0.75,89,89
552,596,581,569,14,5.05,0.62,89,89
725,767,721,713,6,6.44,0.72,89,91
549,527,570,618,10,4.98,0.61,89,87
674,612,628,666,16,5.67,0.59,90,89
783,770,740,736,18,6.66,0.72,90,91
784,725,733,743,13,6.57,0.79,91,90
385,340,359,396,8,3.26,0.48,90,89
722,728,799,744,8,6.58,0.93,91,87
591,621,604,630,13,5.38,0.58,88,89
788,802,788,770,12,6.92,0.89,90,90
508,587,555,564,10,4.87,0.75,87,89
785,795,793,771,10,6.91,0.8,90,90
659,657,578,575,7,5.43,0.6,90,94
542,554,513,569,9,4.79,0.79,88,90
632,663,675,703,17,5.88,1.05,88,87
512,438,468,433,8,4.07,0.47,92,91
466,527,525,509,11,4.46,0.56,88,88
718,778,737,750,16,6.56,1.01,88,90
335,305,301,276,8,2.68,0.3,91,91
483,563,574,550,15,4.77,0.63,88,88
590,584,653,595,17,5.33,0.92,91,88
596,567,580,553,7,5.05,0.75,91,90
364,311,358,348,14,3.04,0.46,91,89
875,899,841,908,10,7.75,0.97,87,90
323,377,353,401,7,3.2,0.41,87,88
876,806,835,836,18,7.37,0.89,91,90
520,591,599,547,17,4.96,0.68,89,89
750,681,696,707,7,6.23,0.77,91,90
560,570,574,628,8,5.13,0.54,88,88
807,852,802,832,12,7.24,1.3,88,90
544,548,497,580,7,4.77,0.53,87,90
744,802,799,799,12,6.91,0.69,88,88
894,876,840,902,15,7.72,0.9,88,90
820,781,855,823,13,7.21,1.1,91,88
629,683,640,635,13,5.69,0.68,88,90
736,720,678,694,14,6.22,0.94,90,92
462,509,509,487,6,4.33,0.61,89,89
557,542,507,555,15,4.75,0.68,89,90
777,804,787,763,11,6.89,1.02,89,90
793,792,768,769,11,6.87,1.06,90,91
346,358,354,361,11,3.12,0.51,89,89
640,618,675,596,17,5.56,0.9,92,89
413,370,425,404,17,3.55,0.39,91,88
673,671,644,644,17,5.79,0.95,90,91
798,755,803,759,12,6.85,1.13,92,89
834,903,848,820,16,7.49,0.97,88,91
533,581,617,578,17,5.08,0.71,89,87
881,857,857,827,16,7.53,0.75,91,91
637,586,587,656,11,5.42,0.9,89,89
330,307,363,345,13,2.96,0.34,91,88
581,610,582,619,14,5.26,0.54,88,89
